match_id,date,venue,team1,team2,winner,toss_winner,toss_decision,format,year
1274602,2021-08-27,La Manga Club Bottom Ground,Germany,Netherlands,Netherlands,Netherlands,field,T20,2021
1274604,2021-08-29,La Manga Club Bottom Ground,France,Ireland,Ireland,Ireland,field,T20,2021
1274606,2021-08-30,La Manga Club Bottom Ground,France,Scotland,Scotland,Scotland,field,T20,2021
1274608,2021-08-29,La Manga Club Top Ground,Germany,Scotland,Scotland,Scotland,field,T20,2021
1274609,2021-08-30,La Manga Club Top Ground,Ireland,Netherlands,Ireland,Netherlands,field,T20,2021
1275039,2021-09-11,Entebbe Cricket Oval,Nigeria,Kenya,Kenya,Nigeria,bat,T20,2021
1275040,2021-09-11,Entebbe Cricket Oval,Uganda,Nigeria,Uganda,Uganda,bat,T20,2021
1275042,2021-09-13,Entebbe Cricket Oval,Kenya,Nigeria,Kenya,Kenya,bat,T20,2021
1275043,2021-09-13,Entebbe Cricket Oval,Nigeria,Uganda,Uganda,Nigeria,bat,T20,2021
1275044,2021-09-10,Entebbe Cricket Oval,Kenya,Uganda,Kenya,Kenya,bat,T20,2021
1275045,2021-09-16,Entebbe Cricket Oval,Nigeria,Kenya,Nigeria,Nigeria,bat,T20,2021
1275047,2021-09-15,Entebbe Cricket Oval,Uganda,Nigeria,Uganda,Uganda,bat,T20,2021
1275051,2021-09-17,Entebbe Cricket Oval,Uganda,Kenya,Uganda,Uganda,bat,T20,2021
1275052,2021-09-10,"Desert Springs Cricket Ground, Almeria",Spain,Germany,Germany,Germany,field,T20,2021
1275053,2021-09-11,"Desert Springs Cricket Ground, Almeria",Germany,Spain,Spain,Germany,bat,T20,2021
1275054,2021-09-11,"Desert Springs Cricket Ground, Almeria",Germany,Spain,Spain,Spain,field,T20,2021
1275074,2021-08-29,Guttsta Wicked Cricket Club,Norway,Sweden,Sweden,Sweden,field,T20,2021
1275104,2021-09-09,"Botswana Cricket Association Oval 1, Gaborone",Mozambique,Rwanda,Rwanda,Rwanda,field,T20,2021
1275106,2021-09-09,"Botswana Cricket Association Oval 1, Gaborone",Botswana,Eswatini,Botswana,Botswana,bat,T20,2021
1275107,2021-09-09,"Botswana Cricket Association Oval 2, Gaborone",Sierra Leone,Nigeria,Nigeria,Sierra Leone,bat,T20,2021
1275108,2021-09-10,"Botswana Cricket Association Oval 1, Gaborone",Tanzania,Zimbabwe,Zimbabwe,Tanzania,bat,T20,2021
1275110,2021-09-10,"Botswana Cricket Association Oval 1, Gaborone",Botswana,Mozambique,Botswana,Mozambique,field,T20,2021
1275111,2021-09-10,"Botswana Cricket Association Oval 2, Gaborone",Namibia,Nigeria,Namibia,Namibia,bat,T20,2021
1275112,2021-09-11,"Botswana Cricket Association Oval 1, Gaborone",Eswatini,Zimbabwe,Zimbabwe,Eswatini,bat,T20,2021
1275113,2021-09-15,"Botswana Cricket Association Oval 2, Gaborone",Cameroon,Sierra Leone,Sierra Leone,Cameroon,bat,T20,2021
