match_id,date,venue,team1,team2,winner,toss_winner,toss_decision,format,year
1302622,2022-03-14,Dubai International Cricket Stadium,Oman,Namibia,Namibia,Oman,bat,ODI,2022
1302623,2022-03-15,Sharjah Cricket Stadium,Papua New Guinea,United Arab Emirates,United Arab Emirates,Papua New Guinea,bat,ODI,2022
1302624,2022-03-16,Sharjah Cricket Stadium,Papua New Guinea,Nepal,Nepal,Papua New Guinea,bat,ODI,2022
1302625,2022-03-18,Dubai International Cricket Stadium,United Arab Emirates,Nepal,United Arab Emirates,United Arab Emirates,bat,ODI,2022
1302626,2022-03-19,Dubai International Cricket Stadium,United Arab Emirates,Papua New Guinea,Papua New Guinea,United Arab Emirates,bat,ODI,2022
1302627,2022-03-21,Dubai International Cricket Stadium,United Arab Emirates,Nepal,United Arab Emirates,Nepal,field,ODI,2022
1302628,2022-03-22,Dubai International Cricket Stadium,Papua New Guinea,Nepal,Nepal,Nepal,field,ODI,2022
1303309,2022-07-10,"The Village, Malahide, Dublin",Ireland,New Zealand,New Zealand,New Zealand,field,ODI,2022
1303310,2022-07-12,"The Village, Malahide, Dublin",Ireland,New Zealand,New Zealand,New Zealand,field,ODI,2022
1303311,2022-07-15,"The Village, Malahide, Dublin",New Zealand,Ireland,New Zealand,New Zealand,bat,ODI,2022
1305496,2022-03-25,"Tribhuvan University International Cricket Ground, Kirtipur",Papua New Guinea,Nepal,Papua New Guinea,Nepal,field,ODI,2022
1305497,2022-03-26,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,Papua New Guinea,Papua New Guinea,Nepal,bat,ODI,2022
1307296,2022-06-14,Pallekele International Cricket Stadium,Sri Lanka,Australia,Australia,Sri Lanka,bat,ODI,2022
1307297,2022-06-16,Pallekele International Cricket Stadium,Sri Lanka,Australia,Sri Lanka,Australia,field,ODI,2022
1307298,2022-06-19,"R Premadasa Stadium, Colombo",Australia,Sri Lanka,Sri Lanka,Australia,bat,ODI,2022
1307299,2022-06-21,"R Premadasa Stadium, Colombo",Sri Lanka,Australia,Sri Lanka,Australia,field,ODI,2022
