match_id,date,venue,team1,team2,winner,toss_winner,toss_decision,format,year
1476981,2025-04-29,"R Premadasa Stadium, Colombo",India,South Africa,India,India,bat,ODI,2025
1476982,2025-05-02,"R Premadasa Stadium, Colombo",South Africa,Sri Lanka,Sri Lanka,Sri Lanka,field,ODI,2025
1476983,2025-05-04,"R Premadasa Stadium, Colombo",India,Sri Lanka,Sri Lanka,Sri Lanka,field,ODI,2025
1476984,2025-05-07,"R Premadasa Stadium, Colombo",India,South Africa,India,South Africa,field,ODI,2025
1476985,2025-05-09,"R Premadasa Stadium, Colombo",South Africa,Sri Lanka,South Africa,Sri Lanka,field,ODI,2025
1476986,2025-05-11,"R Premadasa Stadium, Colombo",India,Sri Lanka,India,India,bat,ODI,2025
1476990,2025-07-26,"Civil Service Cricket Club, Stormont, Belfast",Ireland,Zimbabwe,Ireland,Zimbabwe,field,ODI,2025
1476991,2025-07-28,"Civil Service Cricket Club, Stormont, Belfast",Zimbabwe,Ireland,Ireland,Zimbabwe,bat,ODI,2025
1477009,2025-04-09,"Gaddafi Stadium, Lahore",Pakistan,Ireland,Pakistan,Ireland,field,ODI,2025
1477010,2025-04-09,Lahore City Cricket Association Ground,Scotland,West Indies,Scotland,West Indies,field,ODI,2025
1477011,2025-04-10,Lahore City Cricket Association Ground,Bangladesh,Thailand,Bangladesh,Thailand,field,ODI,2025
1477012,2025-04-11,Lahore City Cricket Association Ground,Scotland,Pakistan,Pakistan,Pakistan,field,ODI,2025
1477013,2025-04-11,"Gaddafi Stadium, Lahore",West Indies,Ireland,West Indies,Ireland,field,ODI,2025
1477014,2025-04-13,Lahore City Cricket Association Ground,Scotland,Thailand,Scotland,Scotland,bat,ODI,2025
1477015,2025-04-13,"Gaddafi Stadium, Lahore",Ireland,Bangladesh,Bangladesh,Ireland,bat,ODI,2025
1477016,2025-04-14,"Gaddafi Stadium, Lahore",Pakistan,West Indies,Pakistan,Pakistan,bat,ODI,2025
1477017,2025-04-15,Lahore City Cricket Association Ground,Ireland,Thailand,Ireland,Ireland,bat,ODI,2025
1477018,2025-04-15,"Gaddafi Stadium, Lahore",Bangladesh,Scotland,Bangladesh,Bangladesh,bat,ODI,2025
1477019,2025-04-17,Lahore City Cricket Association Ground,Bangladesh,West Indies,West Indies,Bangladesh,bat,ODI,2025
1477020,2025-04-17,"Gaddafi Stadium, Lahore",Pakistan,Thailand,Pakistan,Pakistan,bat,ODI,2025
1477021,2025-04-18,"Gaddafi Stadium, Lahore",Scotland,Ireland,Ireland,Scotland,bat,ODI,2025
1477022,2025-04-19,Lahore City Cricket Association Ground,Bangladesh,Pakistan,Pakistan,Bangladesh,bat,ODI,2025
1477023,2025-04-19,"Gaddafi Stadium, Lahore",Thailand,West Indies,West Indies,West Indies,field,ODI,2025
1481530,2025-05-06,"VRA Ground, Amstelveen",Netherlands,United Arab Emirates,Netherlands,United Arab Emirates,field,ODI,2025
1481531,2025-05-08,"VRA Ground, Amstelveen",United Arab Emirates,Scotland,United Arab Emirates,United Arab Emirates,bat,ODI,2025
1481532,2025-05-10,"VRA Ground, Amstelveen",Netherlands,Scotland,Netherlands,Netherlands,bat,ODI,2025
1481533,2025-05-12,"Sportpark Maarschalkerweerd, Utrecht",United Arab Emirates,Netherlands,Netherlands,United Arab Emirates,bat,ODI,2025
1481534,2025-05-14,"Sportpark Maarschalkerweerd, Utrecht",United Arab Emirates,Scotland,Scotland,United Arab Emirates,bat,ODI,2025
1481535,2025-05-16,"Sportpark Maarschalkerweerd, Utrecht",Scotland,Netherlands,Scotland,Netherlands,field,ODI,2025
1481712,2025-05-01,"Grand Prairie Stadium, Dallas",Zimbabwe,United States of America,United States of America,United States of America,field,ODI,2025
1481713,2025-05-03,"Grand Prairie Stadium, Dallas",Zimbabwe,United States of America,Zimbabwe,United States of America,field,ODI,2025
1482564,2025-05-17,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",United States of America,Canada,United States of America,United States of America,bat,ODI,2025
1482565,2025-05-19,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Oman,Canada,Oman,Oman,bat,ODI,2025
1482566,2025-05-21,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Oman,United States of America,,United States of America,field,ODI,2025
1482567,2025-05-23,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Canada,Oman,Oman,Canada,bat,ODI,2025
1482568,2025-05-25,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",United States of America,Canada,United States of America,United States of America,bat,ODI,2025
1482569,2025-05-27,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",United States of America,Oman,United States of America,Oman,field,ODI,2025
1485505,2025-07-02,"R Premadasa Stadium, Colombo",Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,bat,ODI,2025
1485506,2025-07-05,"R Premadasa Stadium, Colombo",Bangladesh,Sri Lanka,Bangladesh,Bangladesh,bat,ODI,2025
1485507,2025-07-08,Pallekele International Cricket Stadium,Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,bat,ODI,2025
1486772,2025-06-02,"Forthill, Dundee",Scotland,Nepal,Nepal,Nepal,field,ODI,2025
1486773,2025-06-04,"Forthill, Dundee",Netherlands,Nepal,Nepal,Netherlands,bat,ODI,2025
1486774,2025-06-06,"Forthill, Dundee",Scotland,Netherlands,Scotland,Netherlands,field,ODI,2025
1486775,2025-06-08,"Forthill, Dundee",Scotland,Nepal,Scotland,Scotland,bat,ODI,2025
1486776,2025-06-10,"Forthill, Dundee",Nepal,Netherlands,Nepal,Netherlands,field,ODI,2025
1486777,2025-06-12,"Forthill, Dundee",Scotland,Netherlands,Netherlands,Scotland,bat,ODI,2025
208835,2005-05-08,"Sabina Park, Kingston",West Indies,South Africa,South Africa,South Africa,field,ODI,2005
209339,2005-05-15,"Queen's Park Oval, Port of Spain",West Indies,South Africa,South Africa,South Africa,field,ODI,2005
209582,2005-05-18,"Arnos Vale Ground, Kingstown",Pakistan,West Indies,Pakistan,West Indies,field,ODI,2005
209768,2005-05-22,"Daren Sammy National Cricket Stadium, Gros Islet",Pakistan,West Indies,Pakistan,West Indies,field,ODI,2005
211244,2005-06-16,Kennington Oval,Bangladesh,England,England,England,field,ODI,2005
211364,2005-06-18,Sophia Gardens,Australia,Bangladesh,Bangladesh,Australia,bat,ODI,2005
211678,2005-06-23,Riverside Ground,Australia,England,Australia,England,field,ODI,2005
211824,2005-06-25,Old Trafford,Bangladesh,Australia,Australia,Australia,field,ODI,2005
211860,2005-06-26,Headingley,Bangladesh,England,England,Bangladesh,bat,ODI,2005
212020,2005-06-28,Edgbaston,Australia,England,,Australia,bat,ODI,2005
212253,2005-06-30,St Lawrence Ground,Bangladesh,Australia,Australia,Australia,field,ODI,2005
212452,2005-07-02,Lord's,Australia,England,,England,field,ODI,2005
213288,2005-07-12,Kennington Oval,England,Australia,Australia,Australia,field,ODI,2005
214742,2005-07-31,Rangiri Dambulla International Stadium,West Indies,India,India,West Indies,bat,ODI,2005
214852,2005-08-02,Rangiri Dambulla International Stadium,Sri Lanka,West Indies,Sri Lanka,Sri Lanka,bat,ODI,2005
215134,2005-08-06,"R.Premadasa Stadium, Khettarama",West Indies,Sri Lanka,West Indies,West Indies,bat,ODI,2005
216271,2005-08-17,SuperSport Park,Africa XI,Asia XI,Africa XI,Asia XI,field,ODI,2005
216669,2005-08-21,Kingsmead,Africa XI,Asia XI,,Africa XI,bat,ODI,2005
217481,2005-08-29,Harare Sports Club,India,Zimbabwe,India,Zimbabwe,field,ODI,2005
217647,2005-08-31,Sinhalese Sports Club Ground,Sri Lanka,Bangladesh,Sri Lanka,Bangladesh,field,ODI,2005
